ID	condition	text	text2	age	gender	hand	resp	RTs	resp_eff	w1	conc1	w2	conc2	sim	delta_conc	freq1	logfreq1	freq2	logfreq2	delta_freq	to_resp	count	distance	Sim	accuracy	trial	L1	L2	L_diff	subj
1	A	gatto	spaventato	24	M	DX	l	2088	spaventato	spaventato	4,95	gatto	8,75	0,323892	3,8	3794	3,579097327	4110	3,613841822	0,00316	spaventato	1	0,676108	0,323892	1	spaventatogatto	5	10	5	1
1	A	grave	caviglia	24	M	DX	a	1228	grave	grave	3,8	caviglia	8,35	0,21636	4,55	5175	3,713910354	794	2,899820502	0,04381	grave	1	0,78364	0,21636	1	gravecaviglia	5	8	3	1
1	A	elefante	innocente	24	M	DX	l	1908	innocente	innocente	3,4	elefante	7,85	0,130005	4,45	4588	3,661623409	861	2,935003151	0,03727	innocente	1	0,869995	0,130005	1	innocenteelefante	8	9	1	1
1	A	bocca	riverente	24	M	DX	l	1790	riverente	riverente	4,2	bocca	8,8	0,201146	4,6	6	0,77815125	11851	4,073754998	0,11845	riverente	1	0,798854	0,201146	1	riverentebocca	5	9	4	1
1	A	giocattolo	insipido	24	M	DX	l	2200	insipido	insipido	3,75	giocattolo	8	0,024267	4,25	43	1,633468456	1009	3,003891166	0,00966	insipido	1	0,975733	0,024267	1	insipidogiocattolo	10	8	2	1
1	A	leggenda	scala	24	M	DX	a	1473	leggenda	leggenda	4,65	scala	8,6	0,140283	3,95	1868	3,271376872	2514	3,400365273	0,00646	leggenda	1	0,859717	0,140283	1	leggendascala	8	5	3	1
1	A	ottimismo	profumo	24	M	DX	a	1803	ottimismo	ottimismo	3,35	profumo	6,35	0,350597	3	200	2,301029996	2375	3,375663614	0,02175	ottimismo	1	0,649403	0,350597	1	ottimismoprofumo	9	7	2	1
1	A	sedile	agile	24	M	DX	l	1415	agile	agile	5,25	sedile	8,5	0,131493	3,25	173	2,238046103	1344	3,128399269	0,01171	agile	1	0,868507	0,131493	1	agilesedile	6	5	1	1
1	A	statua	audace	24	M	DX	l	2011	audace	audace	3,85	statua	8,3	0,19465	4,45	506	2,704150517	1187	3,074450719	0,00681	audace	1	0,80535	0,19465	1	audacestatua	6	6	0	1
1	A	occhio	inganno	24	M	DX	l	2427	inganno	inganno	4,25	occhio	8,6	0,168049	4,35	727	2,861534411	11176	4,048286393	0,10449	inganno	1	0,831951	0,168049	1	ingannoocchio	6	7	1	1
1	A	umano	morale	24	M	DX	l	2859	morale	morale	3,5	umano	8,1	0,33281	4,6	2674	3,427161403	6931	3,840795899	0,04257	morale	1	0,66719	0,33281	1	moraleumano	5	6	1	1
1	A	causa	stomaco	24	M	DX	a	2333	causa	causa	3,45	stomaco	8,05	0,117186	4,6	14778	4,169615662	3256	3,512684396	0,11522	causa	1	0,882814	0,117186	1	causastomaco	5	7	2	1
1	A	febbre	pino	24	M	DX	a	1825	febbre	febbre	5,4	pino	8,4	0,009352	3	2055	3,312811826	447	2,650307523	0,01608	febbre	1	0,990648	0,009352	1	febbrepino	6	4	2	1
1	A	rancido	insalata	24	M	DX	a	1393	rancido	rancido	5,05	insalata	8,55	0,352751	3,5	36	1,556302501	1521	3,182129214	0,01485	rancido	1	0,647249	0,352751	1	rancidoinsalata	7	8	1	1
